subject_id,common_duration_sec,raw_events,eligible_events,excluded_outside_common_coverage,excluded_wake_events,positive_logical_windows,negative_logical_windows,negative_overlap_fallbacks
01,22257.92,86,67,19,0,67,67,0
02,21299.16,574,319,255,0,319,319,58
03,22257.92,229,139,90,0,139,139,0
04,21299.16,38,13,25,0,13,13,0
05,22257.92,435,212,223,0,212,212,0
06,22257.92,280,183,97,0,183,183,0
07,37732.8,58,58,0,0,58,58,0
08,41392.576,319,319,0,0,319,319,0
09,39062.464,306,305,1,0,305,305,0
10,40736.768,227,227,0,0,227,227,0
13,37125.312,165,165,0,0,165,165,0
14,40397.952000000005,220,220,0,0,220,220,0
15,40876.032,203,203,0,0,203,203,0
16,37857.536,122,122,0,0,122,122,0
18,42025.088,155,152,3,0,152,152,0
19,38163.584,303,303,0,0,303,303,0
20,37213.312,503,503,0,0,503,503,82
21,22257.92,165,89,76,0,89,89,0
26,41627.712,481,481,0,0,481,481,0
27,37603.328,455,455,0,0,455,455,0
28,36817.216,184,184,0,0,184,184,0
29,36370.816,81,81,0,0,81,81,0
30,48508.544,419,419,0,0,419,419,0
31,45961.472,122,122,0,0,122,122,0
32,35131.648,104,104,0,0,104,104,0
33,39125.76,341,341,0,0,341,341,0
34,38429.6,270,270,0,0,270,270,83
35,38379.520000000004,455,455,0,0,455,455,161
36,38691.072,136,136,0,0,136,136,0
37,42185.28,397,397,0,0,397,397,0
38,55524.864,381,381,0,0,381,381,0
39,40424.896,403,403,0,0,403,403,2
40,37949.44,198,198,0,0,198,198,0
41,35630.144,260,260,0,0,260,260,0
42,51163.136,342,342,0,0,342,342,0
43,38029.376000000004,55,55,0,0,55,55,0
44,38781.184,221,221,0,0,221,221,0
45,40320.64,429,429,0,0,429,429,0
46,40101.76,277,277,0,0,277,277,0
47,36313.92,231,231,0,0,231,231,0
48,35533.184,397,397,0,0,397,397,0
49,37832.0,317,317,0,0,317,317,0
50,39049.344,532,532,0,0,532,532,0
