subject_id,positive_logical_windows,negative_logical_windows,excluded_alignment_coverage_windows
01,30,37,67
02,319,319,0
03,139,139,0
04,13,13,0
05,212,185,27
06,183,183,0
07,58,58,0
08,319,319,0
09,305,295,10
10,227,227,0
13,165,165,0
14,220,220,0
15,203,203,0
16,122,122,0
18,148,152,4
19,303,303,0
20,503,503,0
21,89,89,0
26,481,481,0
27,455,455,0
28,184,184,0
29,81,67,14
30,419,337,82
31,122,122,0
32,104,104,0
33,341,340,1
36,136,136,0
37,397,397,0
38,381,380,1
39,403,403,0
40,198,198,0
41,260,260,0
42,342,342,0
43,55,55,0
44,216,206,20
45,429,429,0
46,277,277,0
47,231,184,47
48,397,397,0
49,317,317,0
50,532,532,0
